Anno,Regione,Comune,Localita,Codice stazione,Bacino idrografico,Corpo idrico,Livello di contaminazione,Campioni,Misure,n misure positive,Sostanze cercate,Sostanze trovate,Pesticidi totali,x,y
2020,Lombardia,Cervesina,"Nel centro abitato, in corrispondenza dell'idrometro del ponte",N0080884IR1,Po- Staffora (Torrente),da Voghera alla immissione in Po,Superiore ai limiti,4,465,31,108,2,0.925,1003463.32875437,5631447.84086274
2020,Lombardia,Villanova Sillaro,ponte fuori paese,N0080440451LO1,LAMBRO- Sillaro (Torrente),dalla sorgente alla immissione nel Lambro,Superiore ai limiti,3,354,7,109,3,0.847,1055510.45760888,5658552.46393976
2020,Lombardia,Pieve Porto Morone,Chiavica dell'Olonetta,POOLCA1LO1,Po- Olonetta di Zerbo (Colatore),Olonetta di Zerbo (Colatore),Superiore ai limiti,3,354,27,109,8,2.718,1047736.22016794,5638043.25277388
2020,Lombardia,Laveno Mombello,Ponte di via Buozzi ,N0080980071IR1,LAGO MAGGIORE (VERBANO)- Boesio (Torrente),dalla sorgente alla immissione nel lago Maggiore,Superiore ai limiti,4,472,9,109,2,1.019,960016.856943197,5765129.76905171
2020,Lombardia,Castelnuovo Bocca dAdda,Ponte sulla strada comunale per cascina Brevia,POMOPBCA1LO1,Po- Gandiolo (Colatore),COLLETTORE PRIMARIO BONIFICA-Colatore Mortizza-  detto il  Gandiolo. Tratto finale del Collettore primario di bonifica,Superiore ai limiti,5,480,18,109,5,2.199,1098604.31946451,5639737.42589521
2020,Lombardia,Canneto sull Oglio,,POOG3NICA1LO1,OGLIO SUBLACUALE- Naviglio S. Zeno (Canale) - Naviglio Inferiore di Isorella (Canale) - Naviglio di Canneto (Canale),Naviglio Inferiore (Canale) - Isorella - Canneto,Superiore ai limiti,5,591,24,110,2,1.16,1155133.57331435,5644604.90533359
2020,Lombardia,Cremona,,POMBNCCA1LO1,Po- Naviglio Civico di Cremona (Canale),Civico Di Cremona (Naviglio),Superiore ai limiti,4,472,14,109,3,0.481,1114741.89776763,5646617.23532313
2020,Lombardia,S. Benedetto Po,,POSEPMCA1LO1,Po- Dugale Parmigiana Moglia (Canale),Fossa Parmigiana Moglia,Superiore ai limiti,5,591,36,110,8,2.545,1223817.83822145,5628264.25529517
2020,Lombardia,Vigevano,"Fraz. Garbana, in corrispondenza del ponte della S.S.494",N0080961IR1,Po- Terdoppio (Torrente),dall'ingresso in regione ad Alagna,Entro i limiti,7,813,35,108,6,1.285,981564.666422632,5667659.7013228
2020,Lombardia,Germignaga,,N008098035072LO1,LAGO MAGGIORE (VERBANO)- Margorabbia (Fiume),dal Rancina alla immissione in Tresa,Entro i limiti,3,354,4,109,2,0.276,972270.479244071,5778930.22458977
2020,Lombardia,Esine,,N0080600272LO1_1,OGLIO SOPRALACUALE - Grigna (Torrente),dal Valle di Campolaro alla immissione in Oglio,Entro i limiti,3,171,1,57,1,0.24,1139833.36108088,5767504.32679656
2020,Lombardia,Quistello,,POSBCA1IR1,Po- Sabbioncello (Canale),Sabbioncello (Canale),Superiore ai limiti,5,591,15,110,1,0.63,1225682.28828068,5628212.32703295
2020,Lombardia,Sesto ed Uniti,,POMBCA1LO1,Po- Morbasco (Colatore),Colatore Morbasco,Superiore ai limiti,4,472,15,109,7,2.05,1108396.36515205,5647186.09208664
2020,Lombardia,Zerbolò,,POTI3SCCA1LO1,Po Scavizzolo (Canale),,Entro i limiti,4,472,19,109,2,0.523,999815.5046562,5661474.66495007
2020,Lombardia,Gavirate,,N0080981151LO3,LAGO MAGGIORE,Bardello (Fiume),Superiore ai limiti,6,477,15,110,2,0.489,968272.682468972,5755460.97132169
2020,Lombardia,Mariano Comense,,N00800109101011LO1,SEVESO,Terrò (Torrente),Superiore ai limiti,3,355,21,110,4,3.286,1020492.45903351,5730045.55936972
