Comune,Livello di contaminazione,count
cortino,Non quantificabile,1
cossano belbo,Entro i limiti,1
cossato,Non quantificabile,3
cossogno,Superiore ai limiti,1
costa di rovigo,Non quantificabile,1
costa volpino,Non quantificabile,1
costamasnaga,Superiore ai limiti,1
credaro,Entro i limiti,1
crema,Entro i limiti,1
crema,Superiore ai limiti,1
cremona,Entro i limiti,1
cremona,Superiore ai limiti,2
crespadoro,Non quantificabile,1
crespiatica,Non quantificabile,1
crognaleto,Non quantificabile,4
cuggiono,Entro i limiti,1
cumignano sul naviglio,Non quantificabile,1
cuneo,Non quantificabile,1
curtarolo,Entro i limiti,1
darfo boario terme,Non quantificabile,1
denno,Entro i limiti,1
deruta,Superiore ai limiti,1
dogliani,Entro i limiti,1
dosolo,Superiore ai limiti,1
empoli,Superiore ai limiti,1
enna,Non quantificabile,1
eraclea,Superiore ai limiti,2
erba,Non quantificabile,1
esine,Entro i limiti,1
este,Superiore ai limiti,1
fabriano,Entro i limiti,1
fabriano,Non quantificabile,4
faenza,Non quantificabile,1
falconara marittima,Non quantificabile,1
fano,Non quantificabile,1
fano adriano,Non quantificabile,2
fara gera dadda,Non quantificabile,1
felizzano,Entro i limiti,1
feltre,Non quantificabile,1
ferentino,Non quantificabile,2
fermo,Non quantificabile,1
ferrandina,Non quantificabile,2
ferrara,Entro i limiti,1
ferrara,Superiore ai limiti,1
ferrera di varese,Superiore ai limiti,1
fidenza,Non quantificabile,1
fiesole,Entro i limiti,1
figline e incisa valdarno,Entro i limiti,1
figline e incisa valdarno,Superiore ai limiti,1
filago,Superiore ai limiti,1
fino mornasco,Superiore ai limiti,1
firenze,Entro i limiti,2
firenze,Superiore ai limiti,1
fiumefreddo di sicilia,Superiore ai limiti,1
fiumicino,Non quantificabile,1
fiumicino,Superiore ai limiti,1
flero,Superiore ai limiti,1
foggia,Superiore ai limiti,3
foglianise(bn),Superiore ai limiti,1
foligno,Non quantificabile,1
follonica,Entro i limiti,1
fombio,Superiore ai limiti,1
fondi,Non quantificabile,1
fondi,Superiore ai limiti,1
fontanelle,Entro i limiti,1
fontanelle,Non quantificabile,2
fontaneto d'agogna,Entro i limiti,1
forli',Non quantificabile,2
forli',Superiore ai limiti,1
formigliana,Superiore ai limiti,1
fortezza,Non quantificabile,1
fosdinovo,Superiore ai limiti,1
fossalta di piave,Non quantificabile,1
fossano,Non quantificabile,1
fossombrone,Entro i limiti,1
fragnetol'abate(bn),Non quantificabile,1
frassineto po,Superiore ai limiti,1
frassotelesino(bn),Non quantificabile,1
fratta polesine,Entro i limiti,1
fucecchio,Entro i limiti,1
fucecchio,Superiore ai limiti,1
futani(sa),Non quantificabile,1
gabbioneta,Superiore ai limiti,1
gabbioneta binanuova,Entro i limiti,1
gabicce mare,Non quantificabile,1
gaiarine,Non quantificabile,1
gaiarine,Superiore ai limiti,1
gaiole in chianti,Superiore ai limiti,1
gallicano,Non quantificabile,1
galliera,Non quantificabile,1
gallio,Non quantificabile,1
gambassi terme,Non quantificabile,1
gambatesa,Non quantificabile,1
garzigliana,Non quantificabile,1
